Occupation ,Latitude,Longitude
"painter,",40.7160593,-73.9841359
"auctioneer,",42.3642516,-73.5948391
"engraver,",40.712036,-74.0084411
"carver,",40.7204281,-73.9949289
"ornamental painter,",40.7124876,-74.0125724
"auctioneers,",42.3642516,-73.5948391
"printing ink manu.,",43.1536764,-76.8785724
"carver,",40.7033283,-74.0101429
"artist,",40.7173907,-73.9913147
"portrait painter,",42.2528649,-73.790959
"painter,",42.2488427,-73.6589906
"painter,",40.7334565,-73.984371
"painter,",40.7164243,-74.006399
"painter,",40.7127753,-74.0059728
"painter,",40.6975488,-73.9263913
"carver and gilder,",40.718933,-73.986804
"painter,",40.7174748,-73.9858178
"painter,",40.7145932,-73.9913119
"painter,",40.7127753,-74.0059728
"painter,",40.7162376,-73.9828943
"painter,",40.7183321,-73.984501
painter.,40.6423211,-73.9264509
"carver,",40.682862,-73.838388
"carver,",40.6796116,-73.9281659
", wood engraver,",40.6080548,-73.7559738
"senlengraver,",41.2868555,-73.8544371
"engraver,",40.8510978,-73.9342548
engraver,40.7151855,-73.9922792
"engraver,",40.8957623,-73.8973448
"painter,",40.7245824,-74.0103783
"painter,",40.7163276,-73.9965266
"auctioneer,",40.6257514,-74.0756391
"carver,",40.68817,-73.838979
"painter,",40.7246763,-73.9939162
"painter,",40.7246763,-73.9939162
"painters,",40.7246763,-73.9939162
"artist,",40.7092336,-74.0086133
"painter,",40.7197017,-73.9816063
"painter,",40.7225542,-73.9974981
"painter,",40.7151943,-73.9906014
"painter,",40.7171585,-73.9870486
"painting,",40.7171585,-73.9870486
"painter,",40.7127753,-74.0059728
"engraver,",40.7661397,-73.9197859
"auctioneer,",40.7101689,-74.0105162
"engraver,",40.7180597,-73.9946939
"painter,",40.7344382,-74.0061707
"painter,",42.312852,-76.7846764
"auctioneer,",42.3642516,-73.5948391
"painter,",40.7270718,-73.9914903
"miniature painter,",40.7130563,-74.0083157
"painter,",40.7529705,-73.8735114
"carver,",40.7125872,-73.9555336
painter.,40.7249551,-73.9947071
picture gallery.,40.7091417,-73.9598346
"painter,",40.7214215,-73.9880736
auctioneer.,40.7127753,-74.0059728
auctioneer.,40.7127753,-74.0059728
"painter,",40.7270008,-73.998058
"engraver,",40.7081041,-74.0074731
"painter,",40.7185346,-73.9964986
"painter,",40.7215177,-73.9866822
"painter,",40.7103576,-74.0069265
"painters,",40.7108015,-74.0078785
"painter,",40.7127753,-74.0059728
"painter,",42.312852,-76.7846764
"teacher of drawing,",40.7139856,-73.9940232
"auctioneer,",40.705318,-74.0075795
"gilder,",40.7250932,-73.99752
"painter,",40.7127753,-74.0059728
"painter,",40.7138043,-73.9907188
"painter,",40.6891494,-73.9964665
"painter,",43.038959,-75.070436
"portrnitpainter,",40.7590386,-73.8110466
"gilder,",40.7226644,-73.9979806
"engraver,",40.6746151,-73.8707572
"artist,",40.723469,-74.0038328
"printing ink,",41.3314828,-73.9868067
"engraver and printer,",40.7095453,-74.0106179
"painter,",40.722631,-73.9962269
"engraver,",40.7163653,-73.9913627
"engraver,",42.3401767,-77.0334179
"auctioneer,",40.7127753,-74.0059728
"auctioneers,",40.705318,-74.0075795
"painter,",40.7166682,-73.9883901
"painter,",40.6649706,-73.989822
"painter,",40.717349,-73.9793708
"gilder,",42.5047724,-74.291989
"gilder,",40.7165611,-73.9899858
"painter,",40.7452923,-73.984503
"auctioneer,",40.7101795,-74.0105401
"engraver,",40.7127753,-74.0059728
"carver,",40.7105162,-73.9934121
"painter,",42.530633,-75.0896077
"painter,",40.7103271,-74.007182
"carver,",40.7178068,-73.9876948
"artist,",40.7166505,-73.9977661
"painter,",40.7225209,-73.9863998
"auctioneers,",40.7071603,-74.0076058
"carver,",41.6543833,-74.663464
"painter,",42.312852,-76.7846764
"artist,",40.7102574,-73.962691
"3carver,",40.7142208,-73.9989254
"carver,",40.7244948,-73.9966026
"auctioneer,",40.668525,-73.9936832
"auctioneer,",40.705318,-74.0075795
"auctioneer,",40.705318,-74.0075795
"auctioneers,",40.705318,-74.0075795
"painter,",40.716993,-74.0098886
carver.,40.7190068,-73.9977405
"auctioneer,",40.7576753,-73.9434736
"artist,",40.7136918,-73.9965751
". auctioneer,",40.7079971,-74.0079973
"painter,",40.7127753,-74.0059728
"painter,",40.7127753,-74.0059728
"painter,",40.7334985,-74.0051858
"carver,",40.7033283,-74.0101429
"painter,",44.2975617,-74.7168496
"painter,",40.7227941,-74.009595
"auctioneer,",42.3642516,-73.5948391
"painter,",40.7127753,-74.0059728
"painter,",40.699187,-73.99398
"painter,",40.7152,-74.0077326
"painter,",40.7089963,-74.0046823
"portraitpainter,",40.7157769,-73.9947234
"painter,",40.7223694,-73.7888724
"painter,",40.7230628,-73.9927636
"gilder,",40.7188306,-73.9938676
"gilder,",40.7240945,-73.9512485
"painter,",40.7180689,-73.9849107
painter.,40.8725962,-73.8395816
"engraver,",40.7191038,-73.988214
"landscape painter,",44.4489478,-75.6941225
"painter,",40.7233268,-74.0097922
"painter,",40.719767,-73.993813
painter.,40.7339898,-73.9909491
"gilder,",40.7150337,-73.9794082
"painter,",43.038959,-75.070436
"painter,",40.7133385,-73.9968051
"painter,",40.6983306,-73.9958133
"gilder,",40.7088622,-74.0068248
"calico engraver,",40.7000133,-73.9829252
"calico engravers,",40.7000133,-73.9829252
"painter,",40.7179589,-73.9953807
"painter,",40.7183182,-73.9905233
"painter,",40.739713,-74.0060365
painter.,40.7165001,-73.9855113
"painter,",40.7215367,-73.988214
"gilder,",40.726752,-73.992056
"painter,",40.7342969,-74.0071733
"painter,",40.7153932,-73.9975417
"painter,",40.7136707,-74.0113911
"auctioneer,",40.7262061,-74.0063873
"engraver,",40.709438,-74.0084388
"engraver,",40.7661397,-73.9197859
"artist,",40.7144411,-74.0064005
"engraver,",41.2868555,-73.8544371
"signpainter,",40.7090673,-74.0058338
"auctioneer,",40.7060602,-74.0074766
"engraver,",40.7375722,-73.8489238
"painter,",40.732759,-73.9963908
"auctioneer,",40.7173913,-73.9971943
"gilder,",40.7103817,-74.008374
"gilder,",40.7089112,-74.006786
"painter,",40.7186157,-73.9905144
"artist,",40.727224,-74.00255
"artist,",40.727224,-74.00255
"gilder,",40.7181231,-73.99813
